,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
848,manzanillo,mx,19.0506,-104.316,86.36,54.0,8.0,6.4
850,henties bay,na,-22.1161,14.2845,54.3,100.0,0.0,5.06
864,boa vista,br,2.8213,-60.6724,78.57,81.0,32.0,5.61
868,arona,es,28.0996,-16.6811,63.12,97.0,0.0,6.06
870,whitehorse,ca,60.7216,-135.055,64.08,35.0,80.0,3.27
881,oktyabrskoye,ru,56.7292,85.4429,62.49,97.0,92.0,1.81
886,nalut,ly,31.8642,10.983,73.02,39.0,0.0,3.83
890,athens,us,33.9551,-83.3882,81.88,61.0,0.0,5.39
894,opuwo,na,-18.0559,13.8371,44.94,61.0,0.0,2.82
896,turayf,sa,31.6775,38.6531,66.42,39.0,0.0,8.97
897,culebra,us,34.6826,-105.7684,90.55,10.0,0.0,14.0
898,berberati,cf,4.2612,15.7922,66.99,99.0,56.0,2.59
900,berja,es,36.8452,-2.9471,78.03,79.0,68.0,10.2
902,martapura,id,-3.4055,114.8478,77.95,100.0,8.0,7.18
908,wilmington island,us,32.0035,-80.9738,85.01,97.0,48.0,14.0
911,cleveland,us,41.5052,-81.6935,74.43,94.0,92.0,6.29
912,mackay,au,-21.15,149.2,58.3,100.0,76.0,18.59
914,nanortalik,gl,60.1432,-45.2372,35.58,100.0,64.0,1.59
917,linjiang,cn,41.8092,126.9128,68.97,83.0,8.0,3.38
919,ostrovnoy,ru,68.0544,39.5129,53.67,67.0,0.0,16.13
922,hailar,cn,49.2,119.7,65.82,68.0,92.0,16.69
923,tiarei,pf,-17.5334,-149.3334,81.77,100.0,64.0,11.43
933,port blair,in,11.6667,92.75,82.29,100.0,88.0,18.03
939,mareeba,au,-16.9916,145.4227,71.74,87.0,80.0,11.65
944,tecoanapa,mx,16.9875,-99.2589,80.78,95.0,76.0,3.71
945,innisfail,au,-17.5224,146.031,63.75,98.0,92.0,5.73
949,olinda,br,-22.8173,-43.4117,67.03,82.0,0.0,2.59
953,presidencia roque saenz pena,ar,-26.7853,-60.4388,64.11,97.0,92.0,20.83
955,urzhum,ru,57.1101,50.0003,66.54,66.0,20.0,4.38
957,juneau,us,58.3019,-134.4198,59.32,78.0,64.0,2.37
962,keighley,gb,53.8684,-1.9021,45.72,73.0,64.0,4.05
964,taybad,ir,34.7402,60.7755,71.04,37.0,0.0,8.41
969,batagay-alyta,ru,67.8006,130.4114,73.2,39.0,0.0,4.16
972,santa maria,cv,16.6,-22.9,71.01,97.0,32.0,13.78
975,sernur,ru,56.9348,49.1469,73.02,56.0,88.0,4.5
976,cockburn town,bs,24.0333,-74.5167,82.65,96.0,36.0,12.66
977,ewa beach,us,21.3156,-158.0089,85.66,59.0,8.0,13.78
982,lavrentiya,ru,65.5842,-170.989,39.0,94.0,76.0,10.54
986,nantucket,us,41.2835,-70.0995,65.01,86.0,92.0,14.67
989,nimaparha,in,20.0667,86.0167,82.67,99.0,92.0,19.48
990,chapais,ca,49.7839,-74.8569,58.53,38.0,44.0,8.97
996,uvalde,us,29.2097,-99.7862,99.77,32.0,0.0,16.24
997,malanje,ao,-9.5439,16.3475,54.3,70.0,0.0,3.71
1001,vila franca do campo,pt,37.7167,-25.4334,67.15,100.0,0.0,10.54
1008,karpathos,gr,35.507,27.2132,75.25,96.0,0.0,17.02
1011,araouane,ml,18.9041,-3.5276,84.0,22.0,24.0,3.83
1016,chimoio,mz,-19.111,33.4767,55.72,86.0,8.0,2.59
1020,kushiro,jp,43.1128,144.1501,67.33,69.0,0.0,6.96
1021,lompoc,us,34.6392,-120.458,69.55,78.0,0.0,4.61
1026,poso,id,-1.4012,120.7496,78.42,100.0,8.0,4.72
1030,palu,id,-0.8958,119.868,68.34,91.0,24.0,1.7
1036,cayenne,gf,4.9371,-52.3259,76.68,91.0,32.0,4.5
1039,corn island,ni,12.1694,-83.0418,82.2,100.0,88.0,17.47
1041,arrecife,es,28.963,-13.5477,67.5,100.0,32.0,10.2
1043,komsomolskiy,ru,67.5537,63.776,49.44,79.0,0.0,10.65
1044,galveston,us,40.5789,-86.1903,71.44,90.0,20.0,4.05
1045,sampit,id,-2.539,112.9494,76.62,90.0,12.0,5.84
1050,sainte-suzanne,re,-20.9062,55.6089,68.31,100.0,80.0,9.64
1053,terney,ru,45.0504,136.6137,52.86,85.0,20.0,3.27
1061,ginir,et,7.1363,40.7112,59.97,85.0,64.0,5.84
1063,iracoubo,gf,5.4794,-53.2058,78.42,79.0,44.0,4.72
1064,san jeronimo,mx,29.3707,-110.79,99.09,25.0,0.0,12.88
1065,diamantino,br,-14.4037,-56.4365,68.79,76.0,0.0,2.37
1067,jiangyou,cn,31.7777,104.7344,70.32,100.0,92.0,4.05
1078,sorland,no,67.667,12.6934,47.1,100.0,0.0,16.58
1079,teguldet,ru,57.3064,88.1672,70.5,64.0,8.0,3.71
1080,muscat,om,23.5998,58.5451,91.49,74.0,24.0,2.93
1095,kavaratti,in,10.5669,72.642,80.67,100.0,64.0,20.6
1101,kruisfontein,za,-34.0034,24.7314,62.49,84.0,36.0,26.53
1111,naze,jp,28.3667,129.4833,83.21,93.0,48.0,17.36
1115,torrington,us,42.0625,-104.1844,73.45,56.0,92.0,5.73
1116,high prairie,ca,55.4325,-116.4837,73.83,58.0,12.0,5.95
1117,dondo,mz,-19.6165,34.7435,64.65,81.0,0.0,2.82
1119,kayankulam,in,9.1833,76.5,77.07,100.0,92.0,10.98
1132,malatya,tr,38.3483,38.3179,62.78,91.0,0.0,2.48
1142,bodden town,ky,19.2833,-81.25,85.59,94.0,0.0,13.89
1152,parrita,cr,9.5205,-84.3269,76.42,100.0,76.0,0.81
1153,grand-bourg,gp,15.8835,-61.3149,81.01,100.0,80.0,22.28
1154,kieta,pg,-6.2167,155.6333,74.19,100.0,92.0,2.71
1155,senneterre,ca,48.3905,-77.2429,75.31,35.0,92.0,3.38
1157,waipawa,nz,-39.9412,176.5913,54.75,72.0,44.0,15.9
1158,pangnirtung,ca,66.149,-65.7179,32.07,96.0,44.0,2.15
1161,karratha,au,-20.7371,116.8479,56.55,34.0,0.0,17.69
1162,bathsheba,bb,13.2167,-59.5167,81.36,100.0,92.0,21.83
1163,carbonia,it,39.1653,8.5278,72.1,95.0,0.0,4.16
1167,cuamba,mz,-14.798,36.5399,57.09,97.0,20.0,5.95
1168,nemyriv,ua,50.1041,23.4361,45.55,91.0,8.0,10.2
1172,maymyo,mm,22.0333,96.4667,70.14,98.0,100.0,3.94
1174,la romana,do,18.4273,-68.9735,74.79,81.0,76.0,4.94
1175,chumikan,ru,54.7183,135.315,50.16,85.0,0.0,4.16
1180,agua prieta,mx,31.3246,-109.5492,95.36,20.0,0.0,12.77
1185,izazi,tz,-7.2414,35.7219,54.12,91.0,0.0,2.59
1187,havre,us,48.55,-109.6841,72.9,79.0,88.0,10.09
1189,boden,se,65.827,21.693,48.33,73.0,24.0,4.61
1195,west bay,ky,19.3667,-81.4167,85.51,94.0,0.0,14.9
1197,lodwar,ke,3.1166,35.6,67.44,90.0,8.0,2.93
1198,caohai,cn,26.8661,104.2841,61.5,98.0,88.0,3.6
1210,bilibino,ru,68.055,166.4449,62.4,84.0,48.0,1.14
1218,svetlogorsk,ru,53.1375,59.1545,55.8,77.0,48.0,9.98
1219,chatra,in,24.2057,84.8708,80.87,85.0,0.0,3.49
1221,sayyan,ye,15.1718,44.3244,59.16,34.0,0.0,5.06
1224,mandapam,in,9.2833,79.1167,82.65,99.0,24.0,22.62
1225,hobyo,so,5.3505,48.5268,76.62,77.0,64.0,21.94
1243,sungairaya,id,0.7,108.9,72.39,100.0,92.0,1.81
1244,vallenar,cl,-28.5751,-70.7617,46.56,94.0,12.0,1.36
1245,kaya,bf,13.0856,-1.084,81.57,64.0,8.0,9.86
1247,chipinge,zw,-20.189,32.6194,46.92,87.0,0.0,2.59
1252,vao,nc,-22.6667,167.4833,70.77,100.0,64.0,8.75
1256,esfahan,ir,32.6572,51.6776,71.15,24.0,0.0,6.17
1265,kutum,sd,14.2031,24.6617,69.15,70.0,76.0,9.42
1270,monrovia,lr,6.328,-10.7978,76.23,97.0,100.0,4.38
1287,matamba,tz,-8.972,33.9565,50.61,86.0,0.0,4.16
1288,oranjestad,aw,12.524,-70.0271,83.08,95.0,0.0,27.31
1290,chicama,pe,-7.8435,-79.1452,61.99,88.0,20.0,4.38
1294,yining,cn,29.0361,114.5636,76.89,94.0,92.0,3.15
1299,goundam,ml,16.4169,-3.6637,84.0,57.0,24.0,12.88
1304,matata,nz,-37.8897,176.7565,56.82,100.0,0.0,14.34
1307,dalvik,is,65.9702,-18.5287,56.7,99.0,88.0,1.81
1311,pilar,py,-26.8626,-58.3023,71.4,78.0,80.0,7.74
1325,vikhorevka,ru,56.1247,101.172,72.19,58.0,0.0,3.38
1326,schruns,at,47.0802,9.9197,44.53,87.0,0.0,1.03
1331,zarya,ru,45.6703,39.642,67.35,95.0,44.0,6.62
1337,telde,es,27.9924,-15.4192,68.59,100.0,68.0,8.52
1338,sao jose da coroa grande,br,-8.8978,-35.1478,75.45,86.0,92.0,11.54
1342,manhuacu,br,-20.2581,-42.0337,56.28,91.0,0.0,4.38
1345,dharur,in,18.8205,76.1138,70.95,94.0,36.0,9.31
1357,abonnema,ng,4.7084,6.7931,71.26,98.0,76.0,2.93
1362,camacha,pt,33.0833,-16.3334,68.02,100.0,0.0,5.61
1364,portland,au,-33.3484,149.9844,42.78,69.0,0.0,1.25
1365,batticaloa,lk,7.7102,81.6924,77.7,100.0,24.0,5.39
1370,palmares do sul,br,-30.2581,-50.5099,64.89,66.0,80.0,8.41
1373,srednekolymsk,ru,67.4555,153.7071,62.49,58.0,8.0,4.72
1374,yanam,in,16.7333,82.2167,78.96,92.0,48.0,8.41
1376,lumut,my,4.2323,100.6298,73.11,100.0,8.0,3.71
1377,orapa,bw,-21.2834,25.3667,48.99,74.0,0.0,7.4
1380,mariestad,se,58.7093,13.8229,55.49,91.0,0.0,9.86
1392,brownsville,us,25.914,-97.4891,89.94,77.0,0.0,19.93
1395,samarai,pg,-10.6167,150.6667,76.8,100.0,64.0,16.69
1396,logumkloster,dk,55.0594,8.9551,53.56,85.0,92.0,17.25
1403,madarounfa,ne,13.3032,7.1615,70.95,95.0,12.0,2.93
1405,caucaia,br,-3.7301,-38.6594,81.1,96.0,0.0,20.49
1409,port hawkesbury,ca,45.6181,-61.3575,55.99,74.0,76.0,9.53
1410,sombrio,br,-29.108,-49.6328,70.5,63.0,8.0,6.4
1414,ambilobe,mg,-13.1945,49.05,69.33,85.0,68.0,3.94
1417,zhigansk,ru,66.7656,123.3741,72.66,42.0,76.0,2.93
1421,lakes entrance,au,-37.8795,147.9944,51.33,93.0,92.0,11.99
1422,leshukonskoye,ru,64.8989,45.7622,53.94,72.0,8.0,3.6
1423,butembo,cd,0.125,29.292,56.55,97.0,12.0,1.48
1427,carutapera,br,-1.2017,-46.0206,81.39,79.0,80.0,10.76
1429,greenville,us,34.8514,-82.3985,79.02,46.0,12.0,8.86
1430,alegrete,br,-29.7902,-55.7949,57.09,98.0,92.0,17.47
1434,boca do acre,br,-8.7554,-67.3931,72.43,72.0,8.0,2.37
1436,launceston,au,-41.4341,147.1373,45.46,85.0,76.0,6.73
1438,baruun-urt,mn,46.6808,113.2846,74.46,59.0,68.0,17.13
1444,dudinka,ru,69.4061,86.1751,69.42,94.0,0.0,7.18
1456,bydgoszcz,pl,53.122,18.0003,49.71,70.0,88.0,7.63
1459,shelburne,ca,44.0785,-80.2035,65.98,78.0,80.0,7.74
1463,pangody,ru,65.85,74.4859,61.2,74.0,44.0,19.71
1466,zhangye,cn,38.9365,100.4556,70.5,80.0,68.0,4.05
1469,rawson,ar,-43.2992,-65.1057,28.4,39.0,0.0,8.97
1475,quang ngai,vn,15.1167,108.8,86.13,81.0,36.0,2.82
1477,tanete,id,-3.9444,119.7848,75.67,100.0,88.0,6.17
1478,totness,sr,5.8833,-56.3167,79.0,100.0,92.0,11.65
1486,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,52.34,88.0,36.0,1.92
1487,hirara,jp,24.8,125.2833,82.33,96.0,76.0,18.25
1493,riverton,us,43.025,-108.3799,65.25,55.0,44.0,5.73
1495,port moresby,pg,-9.4744,147.16,74.84,94.0,0.0,22.5
1497,florence,us,34.1984,-79.7672,89.46,36.0,8.0,10.42
1504,dzhebariki-khaya,ru,62.2167,135.8,68.5,55.0,92.0,2.15
1511,broken hill,au,-31.9651,141.4511,52.74,97.0,12.0,4.61
1524,nanakuli,us,21.3906,-158.1548,83.32,82.0,8.0,16.8
1531,semnan,ir,35.5836,53.3879,73.45,39.0,88.0,8.41
1539,seoul,kr,37.5667,126.9783,80.56,70.0,0.0,3.38
1545,arinos,br,-15.9173,-46.1062,57.29,58.0,20.0,5.61
1546,ferrol,es,43.4847,-8.2332,68.95,91.0,0.0,1.92
1547,kharp,ru,66.8152,65.8009,57.07,74.0,0.0,9.42
1550,beringovskiy,ru,63.05,179.3167,44.11,100.0,92.0,9.98
1557,santa josefa,ph,7.9911,126.03,85.32,90.0,8.0,3.6
1558,omboue,ga,-1.5747,9.2618,74.82,98.0,88.0,6.73
1561,pamanukan,id,-6.2842,107.821,81.57,100.0,8.0,9.19
1562,kautokeino,no,69.0125,23.0412,37.17,96.0,92.0,7.52
1564,emerald,au,-23.5264,148.1619,77.92,51.0,24.0,4.94
1567,wattegama,lk,7.3513,80.6826,69.55,97.0,80.0,4.16
1574,qasigiannguit,gl,68.8201,-51.1933,36.18,92.0,92.0,9.19
1578,novyy urgal,ru,51.0736,132.5642,68.41,79.0,8.0,9.75
1581,matagami,ca,49.7569,-77.6272,43.07,54.0,92.0,8.08
1583,sosva,ru,59.1739,61.8619,60.15,75.0,44.0,6.51
1590,damghan,ir,36.1675,54.338,66.38,46.0,48.0,4.16
1592,suamico,us,44.632,-88.0394,73.06,58.0,76.0,7.63
1604,egvekinot,ru,66.3167,-179.1667,47.89,71.0,56.0,5.61
1611,pokhara,np,28.2095,83.9914,59.79,67.0,20.0,3.83
1621,kharovsk,ru,59.9536,40.2068,60.71,59.0,64.0,9.64
1622,blagoyevo,ru,63.3667,47.9167,51.22,90.0,24.0,2.37
1625,poum,nc,-20.2334,164.0167,72.68,100.0,0.0,15.68
1627,prudentopolis,br,-25.2131,-50.9778,50.92,84.0,0.0,2.71
1629,owensboro,us,37.7742,-87.1134,79.97,74.0,8.0,5.95
1630,kjopsvik,no,68.097,16.3742,46.27,100.0,92.0,9.64
1633,jacobina,br,-11.1852,-40.5113,67.23,65.0,92.0,11.65
1635,port-cartier,ca,50.0257,-66.8819,67.5,66.0,88.0,14.0
1637,awjilah,ly,29.1403,21.2975,77.43,40.0,8.0,6.4
1645,caorle,it,45.5966,12.8758,60.89,97.0,0.0,2.59
1646,makat,kz,47.6469,53.3463,62.94,45.0,0.0,2.82
1653,balkanabat,tm,39.5089,54.3631,66.96,33.0,12.0,3.04
1657,bintulu,my,3.1667,113.0333,72.63,100.0,92.0,3.6
1659,la ronge,ca,55.1004,-105.3013,73.76,58.0,24.0,9.64
1660,manama,bh,26.2154,50.5832,89.06,88.0,0.0,19.6
1664,tezu,in,27.9254,96.1647,68.41,89.0,24.0,1.59
1665,nakamura,jp,35.1693,136.8662,72.9,95.0,44.0,4.05
1667,tateyama,jp,36.6634,137.3139,78.44,63.0,12.0,1.14
1670,kangaatsiaq,gl,68.3065,-53.4641,34.75,98.0,88.0,12.21
1672,sao gabriel da cachoeira,br,-0.1303,-67.0892,70.45,93.0,64.0,2.71
1678,santiago del estero,ar,-27.7952,-64.2615,56.1,39.0,12.0,15.01
1680,sol-iletsk,ru,51.1613,54.9964,54.77,68.0,0.0,5.17
1685,katherine,au,-14.4657,132.2631,65.37,39.0,0.0,9.19
1689,tomatlan,mx,19.9333,-105.25,84.09,51.0,32.0,4.72
1702,sangar,ru,63.9236,127.4668,63.52,80.0,92.0,3.27
1712,abu dhabi,ae,24.4748,54.3706,87.1,97.0,36.0,9.42
1719,belaya kholunitsa,ru,58.84,50.8528,64.98,80.0,92.0,2.82
1720,andenes,no,69.3143,16.1194,43.79,100.0,92.0,19.82
1732,horsham,au,-36.7149,142.2018,46.53,93.0,20.0,3.83
1736,sao joao da barra,br,-21.6403,-41.0512,72.37,96.0,0.0,18.03
1741,barreirinhas,br,-2.7542,-42.826,71.76,87.0,8.0,6.73
1744,santa barbara,mx,27.1208,-108.7207,90.5,32.0,0.0,2.71
1745,luancheng,cn,37.8792,114.6517,82.36,63.0,44.0,10.98
1748,cam ranh,vn,11.9167,109.1486,80.1,100.0,56.0,5.61
1750,tabou,ci,4.4194,-7.3604,78.53,100.0,88.0,8.97
1754,lamovita,ba,44.9244,16.9071,48.06,89.0,0.0,1.92
1758,mahajanga,mg,-15.7167,46.3167,71.42,100.0,0.0,10.2
1760,tome,cl,-36.6167,-72.95,52.36,100.0,0.0,17.58
1766,fort nelson,ca,58.8063,-122.694,81.82,27.0,20.0,4.16
1767,ayia marina,gr,37.75,23.5333,67.78,97.0,0.0,7.52
1769,toribio,co,2.9548,-76.2684,69.49,100.0,68.0,0.47
1770,bochil,mx,16.9961,-92.8918,83.71,86.0,44.0,1.59
1772,buraydah,sa,26.3317,43.9717,71.64,29.0,0.0,2.82
1777,mbandaka,cd,0.0471,18.2565,67.51,98.0,36.0,3.49
1779,zabol,ir,31.0278,61.4948,78.8,44.0,0.0,18.7
1782,mitsamiouli,km,-11.3848,43.2844,78.3,97.0,64.0,10.54
1787,vyshestebliyevskaya,ru,45.1956,36.9977,68.68,87.0,0.0,12.66
1788,yerbogachen,ru,61.2767,108.0108,78.21,70.0,0.0,3.71
1792,san felipe,ve,10.3395,-68.7418,65.93,76.0,8.0,1.92
1793,rosetown,ca,51.5548,-107.9913,73.65,50.0,44.0,10.98
1796,umm kaddadah,sd,13.6017,26.6876,75.38,57.0,56.0,7.52
1798,berlevag,no,70.8578,29.0864,43.05,96.0,68.0,13.22
1800,naryan-mar,ru,67.6713,53.087,51.1,86.0,0.0,4.61
1802,assiniboia,ca,49.6282,-105.9934,75.27,67.0,68.0,7.29
1804,bonavista,ca,48.6542,-53.1104,52.95,59.0,36.0,22.62
1805,yuncheng,cn,35.0276,111.0021,85.57,73.0,8.0,3.38
1806,namwala,zm,-15.7524,26.4476,48.18,93.0,0.0,6.73
1807,ichhawar,in,23.0283,77.0179,79.09,97.0,64.0,5.17
1809,hualmay,pe,-11.0968,-77.613,50.58,98.0,24.0,5.06
1810,dhidhdhoo,mv,6.8833,73.1,79.68,100.0,44.0,17.13
1814,pitanga,br,-24.7596,-51.7638,50.14,87.0,0.0,2.26
1818,san jose,ph,15.7917,120.9891,81.61,97.0,48.0,2.15
1819,lewisporte,ca,49.2463,-55.0594,66.74,48.0,64.0,18.37
1836,vila velha,br,-3.7125,-38.6045,81.1,96.0,0.0,20.49
1837,ust-nera,ru,64.5664,143.2378,59.67,58.0,88.0,2.71
1838,villamontes,bo,-21.2587,-63.4727,63.41,84.0,80.0,5.61
1839,darhan,mn,49.4867,105.9228,68.02,60.0,32.0,6.4
1842,ust-maya,ru,60.4164,134.5365,76.89,52.0,64.0,3.6
1852,maniitsoq,gl,65.4167,-52.9001,36.18,91.0,56.0,1.81
1854,oyama,jp,36.3146,139.7973,73.62,90.0,76.0,2.37
1859,narnaul,in,28.0438,76.1062,81.03,61.0,44.0,8.63
1872,barda,ru,56.9302,55.587,55.36,70.0,0.0,5.06
1884,makakilo city,us,21.3469,-158.0859,85.66,59.0,8.0,13.78
1886,torva,ee,58.0028,25.935,54.95,78.0,76.0,7.4
1891,aripuana,br,-9.1667,-60.6334,73.02,65.0,0.0,2.15
1900,xuddur,so,4.1213,43.8894,67.64,80.0,92.0,16.24
1906,klyuchi,ru,52.2549,79.1714,62.38,96.0,24.0,4.16
1908,amnat charoen,th,15.862,104.6327,72.91,99.0,92.0,6.4
1909,port said,eg,25.339,30.5528,83.16,27.0,0.0,10.2
1912,kudahuvadhoo,mv,2.6708,72.8944,82.42,100.0,68.0,6.96
1920,okha,ru,53.5905,142.9501,47.17,100.0,76.0,12.44
1922,aklavik,ca,68.2183,-135.0136,46.71,68.0,92.0,13.89
1923,placido de castro,br,-10.3353,-67.1856,73.36,66.0,12.0,2.48
1924,wajima,jp,37.4,136.9,74.98,82.0,0.0,9.75
1925,wukari,ng,7.8705,9.7776,69.37,100.0,88.0,4.05
1927,kulhudhuffushi,mv,6.6221,73.07,79.68,100.0,44.0,17.13
1934,bull savanna,jm,17.8868,-77.5903,76.21,83.0,56.0,5.95
1935,husavik,is,66.0449,-17.3389,56.26,87.0,20.0,2.71
1937,richards bay,za,-28.7745,32.0555,53.44,93.0,0.0,4.16
1941,shadegan,ir,30.6495,48.6697,83.1,24.0,0.0,11.88
1946,goure,ne,13.9835,10.2704,73.51,63.0,0.0,5.95
1951,moche,pe,-8.1715,-79.009,65.7,100.0,32.0,10.65
1955,luwuk,id,-0.9504,122.7886,77.86,100.0,36.0,4.16
1958,port hedland,au,-20.3112,118.5801,53.08,33.0,0.0,18.81
1961,caiaponia,br,-16.9567,-51.8103,62.76,42.0,8.0,6.06
1965,tual,id,-5.6667,132.75,80.06,100.0,56.0,15.46
1975,onalaska,us,43.8831,-91.2344,75.7,62.0,24.0,4.05
1982,shihezi,cn,44.3,86.0333,72.36,40.0,8.0,4.27
1986,freeport,us,42.2967,-89.6213,76.32,82.0,0.0,3.27
1987,basco,ph,20.4487,121.9702,84.24,100.0,68.0,10.42
1988,amambai,br,-23.1083,-55.2285,62.82,57.0,24.0,8.52
1989,saint-pierre,pm,46.7654,-56.1695,47.44,88.0,56.0,17.69
1993,yulara,au,-25.2411,130.9869,42.89,51.0,0.0,9.64
1995,itanhem,br,-17.1664,-40.3301,68.92,87.0,20.0,7.29
1996,luba,gq,3.4568,8.5547,77.25,100.0,100.0,5.39
1998,lingao,cn,19.9103,109.6859,84.54,93.0,48.0,5.84
